downloadcount,packages
81193,digest & stringr
78828,colorspace & ggplot2
73644,reshape2 & ggplot2
72868,scales & ggplot2
72657,munsell & scales
72235,labeling & scales
72183,labeling & ggplot2
72092,munsell & labeling
72089,dichromat & munsell
72071,reshape2 & plyr
71910,dichromat & labeling
71831,gtable & ggplot2
71816,gtable & munsell
71783,gtable & scales
71778,dichromat & scales
71542,munsell & ggplot2
71204,gtable & labeling
71136,dichromat & gtable
71122,plyr & Rcpp
70792,dichromat & ggplot2
70530,RColorBrewer & ggplot2
69898,proto & ggplot2
69692,proto & gtable
69532,proto & scales
69437,labeling & colorspace
69421,proto & munsell
69280,ggplot2 & Rcpp
69175,proto & dichromat
69155,proto & labeling
69039,scales & colorspace
69014,RColorBrewer & colorspace
68827,scales & reshape2
68762,munsell & colorspace
68613,colorspace & reshape2
68578,colorspace & Rcpp
68363,labeling & reshape2
68199,labeling & RColorBrewer
68187,dichromat & colorspace
67894,gtable & colorspace
67833,gtable & reshape2
67758,munsell & reshape2
67568,RColorBrewer & scales
67330,plyr & ggplot2
67234,RColorBrewer & reshape2
67007,munsell & RColorBrewer
66961,dichromat & reshape2
66931,digest & Rcpp
66905,dichromat & RColorBrewer
66838,proto & reshape2
66178,gtable & RColorBrewer
65841,proto & colorspace
64979,reshape2 & Rcpp
64797,proto & RColorBrewer
63839,scales & plyr
63572,colorspace & plyr
63471,reshape2 & stringr
63342,digest & ggplot2
63135,munsell & plyr
62942,plyr & stringr
62878,stringr & Rcpp
62858,labeling & plyr
62581,gtable & plyr
62493,reshape2 & digest
62383,dichromat & plyr
62368,colorspace & digest
61955,proto & plyr
61458,RColorBrewer & plyr
60969,RColorBrewer & digest
59951,RColorBrewer & Rcpp
59524,labeling & digest
59423,digest & plyr
58708,scales & digest
58331,munsell & digest
58294,gtable & digest
58289,dichromat & digest
58042,stringr & ggplot2
57948,proto & digest
57352,scales & stringr
57244,munsell & stringr
57049,gtable & stringr
56659,proto & stringr
56650,labeling & stringr
56641,dichromat & stringr
56588,colorspace & stringr
56576,RColorBrewer & stringr
56540,labeling & Rcpp
55943,scales & Rcpp
55459,munsell & Rcpp
55229,dichromat & Rcpp
54987,proto & Rcpp
54919,gtable & Rcpp
50378,mime & digest
43465,mime & stringr
42320,bitops & digest
41995,bitops & mime
41347,bitops & stringr
38861,mime & Rcpp
37684,bitops & RCurl
33022,RCurl & mime
31705,mime & ggplot2
31607,RCurl & digest
30408,mime & colorspace
28791,RCurl & stringr
28492,zoo & Rcpp
27922,bitops & Rcpp
27314,zoo & colorspace
26256,mime & plyr
25860,mime & reshape2
25223,mime & RColorBrewer
25001,zoo & ggplot2
24952,RCurl & Rcpp
24016,magrittr & Rcpp
22851,mime & labeling
22384,mime & scales
22174,bitops & plyr
22048,mime & munsell
21986,mime & proto
21892,mime & gtable
21877,mime & dichromat
21591,magrittr & ggplot2
21133,bitops & reshape2
21090,bitops & RColorBrewer
21009,bitops & ggplot2
20844,bitops & colorspace
20456,zoo & reshape2
20374,zoo & plyr
20368,zoo & digest
20092,zoo & RColorBrewer
20090,RCurl & plyr
19667,bitops & scales
19591,bitops & dichromat
19589,bitops & labeling
19581,bitops & munsell
19458,bitops & proto
19387,bitops & gtable
18830,magrittr & reshape2
18732,RCurl & ggplot2
18162,RCurl & colorspace
18111,RCurl & reshape2
17940,zoo & labeling
17919,RCurl & RColorBrewer
17879,zoo & scales
17749,mime & zoo
17718,magrittr & plyr
17606,zoo & stringr
17432,zoo & munsell
17430,magrittr & stringr
17301,magrittr & digest
17182,zoo & gtable
17172,zoo & dichromat
17168,magrittr & colorspace
17165,zoo & proto
16885,magrittr & RColorBrewer
16316,labeling & magrittr
16253,magrittr & scales
16112,munsell & magrittr
15947,dichromat & magrittr
15890,gtable & magrittr
15770,proto & magrittr
15401,RCurl & labeling
15147,RCurl & scales
14743,RCurl & munsell
14694,RCurl & proto
14659,RCurl & dichromat
14506,RCurl & gtable
14132,mime & magrittr
11851,bitops & magrittr
11349,RCurl & magrittr
10332,bitops & zoo
9663,RCurl & zoo
9205,magrittr & stringi
7679,stringi & reshape2
7313,stringi & stringr
7223,stringi & Rcpp
7167,zoo & magrittr
7080,stringi & plyr
7074,stringi & ggplot2
6717,stringi & digest
6651,colorspace & stringi
6400,RColorBrewer & stringi
6129,scales & stringi
6078,labeling & stringi
5987,munsell & stringi
5983,gtable & stringi
5947,dichromat & stringi
5942,proto & stringi
5695,mime & stringi
5211,RCurl & stringi
4990,bitops & stringi
4121,zoo & stringi
