lib,Category,C2
abc,Bayesian,science computing
arm,Bayesian,science computing
AtelieR,Bayesian,science computing
BaBooN,Bayesian,science computing
BACCO,Bayesian,science computing
BaM,Bayesian,science computing
BayesDA,Bayesian,science computing
bayesm,Bayesian,science computing
bayesmix,Bayesian,science computing
bayesQR,Bayesian,science computing
bayesSurv,Bayesian,science computing
Bayesthresh,Bayesian,science computing
BayesValidate,Bayesian,science computing
BayesX,Bayesian,science computing
BayHaz,Bayesian,science computing
bbemkr,Bayesian,science computing
BCBCSF,Bayesian,science computing
BCE,Bayesian,science computing
bclust,Bayesian,science computing
bcp,Bayesian,science computing
bfp,Bayesian,science computing
bisoreg,Bayesian,science computing
BLR,Bayesian,science computing
Bmix,Bayesian,science computing
bnlearn,Bayesian,science computing
boa,Bayesian,science computing
Bolstad,Bayesian,science computing
bqtl,Bayesian,science computing
bspec,Bayesian,science computing
bspmma,Bayesian,science computing
BVS,Bayesian,science computing
catnet,Bayesian,science computing
coda,Bayesian,science computing
cslogistic,Bayesian,science computing
dclone,Bayesian,science computing
deal,Bayesian,science computing
dlm,Bayesian,science computing
DPpackage,Bayesian,science computing
EbayesThresh,Bayesian,science computing
ebdbNet,Bayesian,science computing
ensembleBMA,Bayesian,science computing
evdbayes,Bayesian,science computing
exactLoglinTest,Bayesian,science computing
factorQR,Bayesian,science computing
geoR,Bayesian,science computing
geoRglm,Bayesian,science computing
ggmcmc,Bayesian,science computing
glmmBUGS,Bayesian,science computing
growcurves,Bayesian,science computing
hbsae,Bayesian,science computing
HI,Bayesian,science computing
Hmisc,Bayesian,science computing
iterLap,Bayesian,science computing
LearnBayes,Bayesian,science computing
lme4,Bayesian,science computing
lmm,Bayesian,science computing
MasterBayes,Bayesian,science computing
mcmc,Bayesian,science computing
MCMCglmm,Bayesian,science computing
MCMCpack,Bayesian,science computing
mgcv,Bayesian,science computing
mlogitBMA,Bayesian,science computing
MNP,Bayesian,science computing
mombf,Bayesian,science computing
monomvn,Bayesian,science computing
pacbpred,Bayesian,science computing
PAWL,Bayesian,science computing
PottsUtils,Bayesian,science computing
predmixcor,Bayesian,science computing
profdpm,Bayesian,science computing
pscl,Bayesian,science computing
R2jags,Bayesian,science computing
R2WinBUGS,Bayesian,science computing
ramps,Bayesian,science computing
rbugs,Bayesian,science computing
RJaCGH,Bayesian,science computing
rjags,Bayesian,science computing
RSGHB,Bayesian,science computing
runjags,Bayesian,science computing
Runuran,Bayesian,science computing
RxCEcolInf,Bayesian,science computing
SampleSizeMeans,Bayesian,science computing
SampleSizeProportions,Bayesian,science computing
sbgcop,Bayesian,science computing
SimpleTable,Bayesian,science computing
sna,Bayesian,science computing
spBayes,Bayesian,science computing
spikeSlabGAM,Bayesian,science computing
spTimer,Bayesian,science computing
stochvol,Bayesian,science computing
tgp,Bayesian,science computing
zic,Bayesian,science computing
BMA,Bayesian,science computing
BMS,Bayesian,science computing
BSquare,Bayesian,science computing
FME,Bayesian,science computing
BAYSTAR,Bayesian,science computing
spikeslab,Bayesian,science computing
AdMit,Bayesian,science computing
bayesGARCH,Bayesian,science computing
eigenmodel,Bayesian,science computing
PReMiuM,Bayesian,science computing
rcppbugs,Bayesian,science computing
rstiefel,Bayesian,science computing
MSBVAR,Bayesian,science computing
BayesTree,Bayesian,science computing
BayesSummaryStatLM,Bayesian,science computing
coalescentMCMC,Bayesian,science computing
SamplerCompare,Bayesian,science computing
eco,Bayesian,science computing
ALS,ChemPhys,science computing
AnalyzeFMRI,ChemPhys,science computing
AquaEnv,ChemPhys,science computing
astro,ChemPhys,science computing
astroFns,ChemPhys,science computing
Bchron,ChemPhys,science computing
bvls,ChemPhys,science computing
cda,ChemPhys,science computing
CellularAutomaton,ChemPhys,science computing
chemCal,ChemPhys,science computing
chemometrics,ChemPhys,science computing
ChemometricsWithR,ChemPhys,science computing
ChemometricsWithRData,ChemPhys,science computing
ChemoSpec,ChemPhys,science computing
CHNOSZ,ChemPhys,science computing
cosmoFns,ChemPhys,science computing
dielectric,ChemPhys,science computing
diffractometry,ChemPhys,science computing
drc,ChemPhys,science computing
drm,ChemPhys,science computing
elasticnet,ChemPhys,science computing
fastICA,ChemPhys,science computing
FITSio,ChemPhys,science computing
fmri,ChemPhys,science computing
fpca,ChemPhys,science computing
FTICRMS,ChemPhys,science computing
homals,ChemPhys,science computing
Iso,ChemPhys,science computing
kohonen,ChemPhys,science computing
leaps,ChemPhys,science computing
MALDIquant,ChemPhys,science computing
minpack.lm,ChemPhys,science computing
moonsun,ChemPhys,science computing
nlme,ChemPhys,science computing
nnls,ChemPhys,science computing
OrgMassSpecR,ChemPhys,science computing
pcaPP,ChemPhys,science computing
Peaks,ChemPhys,science computing
PET,ChemPhys,science computing
planar,ChemPhys,science computing
plspm,ChemPhys,science computing
ppls,ChemPhys,science computing
psy,ChemPhys,science computing
PTAk,ChemPhys,science computing
quantchem,ChemPhys,science computing
represent,ChemPhys,science computing
rpubchem,ChemPhys,science computing
sapa,ChemPhys,science computing
simecol,ChemPhys,science computing
solaR,ChemPhys,science computing
som,ChemPhys,science computing
spls,ChemPhys,science computing
stellaR,ChemPhys,science computing
stepPlr,ChemPhys,science computing
subselect,ChemPhys,science computing
TIMP,ChemPhys,science computing
titan,ChemPhys,science computing
varSelRF,ChemPhys,science computing
WilcoxCV,ChemPhys,science computing
BioMark,ChemPhys,science computing
celestial,ChemPhys,science computing
lspls,ChemPhys,science computing
pls,ChemPhys,science computing
prospectr,ChemPhys,science computing
SCEPtER,ChemPhys,science computing
clustvarsel,ChemPhys,science computing
investr,ChemPhys,science computing
resemble,ChemPhys,science computing
hyperSpec,ChemPhys,science computing
nlreg,ChemPhys,science computing
rcdk,ChemPhys,science computing
rcdklibs,ChemPhys,science computing
astrodatR,ChemPhys,science computing
astrolibR,ChemPhys,science computing
CosmoPhotoz,ChemPhys,science computing
CRAC,ChemPhys,science computing
RobPer,ChemPhys,science computing
snapshot,ChemPhys,science computing
speaq,ChemPhys,science computing
compositions,ChemPhys,science computing
adaptTest,ClinicalTrials,LifeScience
asd,ClinicalTrials,LifeScience
asypow,ClinicalTrials,LifeScience
bcrm,ClinicalTrials,LifeScience
bifactorial,ClinicalTrials,LifeScience
blockrand,ClinicalTrials,LifeScience
clinfun,ClinicalTrials,LifeScience
clinsig,ClinicalTrials,LifeScience
coin,ClinicalTrials,LifeScience
conf.design,ClinicalTrials,LifeScience
CRM,ClinicalTrials,LifeScience
CRTSize,ClinicalTrials,LifeScience
dfcrm,ClinicalTrials,LifeScience
DoseFinding,ClinicalTrials,LifeScience
epibasix,ClinicalTrials,LifeScience
experiment,ClinicalTrials,LifeScience
FrF2,ClinicalTrials,LifeScience
GroupSeq,ClinicalTrials,LifeScience
gsDesign,ClinicalTrials,LifeScience
HH,ClinicalTrials,LifeScience
Hmisc,ClinicalTrials,LifeScience
ldbounds,ClinicalTrials,LifeScience
longpower,ClinicalTrials,LifeScience
MChtest,ClinicalTrials,LifeScience
MCPMod,ClinicalTrials,LifeScience
meta,ClinicalTrials,LifeScience
metafor,ClinicalTrials,LifeScience
metaLik,ClinicalTrials,LifeScience
multcomp,ClinicalTrials,LifeScience
nppbib,ClinicalTrials,LifeScience
PIPS,ClinicalTrials,LifeScience
PowerTOST,ClinicalTrials,LifeScience
pwr,ClinicalTrials,LifeScience
PwrGSD,ClinicalTrials,LifeScience
qtlDesign,ClinicalTrials,LifeScience
rmeta,ClinicalTrials,LifeScience
seqmon,ClinicalTrials,LifeScience
speff2trial,ClinicalTrials,LifeScience
ssanv,ClinicalTrials,LifeScience
survival,ClinicalTrials,LifeScience
TEQR,ClinicalTrials,LifeScience
TrialSize,ClinicalTrials,LifeScience
AGSDest,ClinicalTrials,LifeScience
binomSamSize,ClinicalTrials,LifeScience
metasens,ClinicalTrials,LifeScience
samplesize,ClinicalTrials,LifeScience
amap,Cluster,machine learning
apcluster,Cluster,machine learning
bayesm,Cluster,machine learning
bayesmix,Cluster,machine learning
bclust,Cluster,machine learning
bgmm,Cluster,machine learning
biclust,Cluster,machine learning
Bmix,Cluster,machine learning
cba,Cluster,machine learning
cclust,Cluster,machine learning
CHsharp,Cluster,machine learning
clue,Cluster,machine learning
cluster,Cluster,machine learning
clusterGeneration,Cluster,machine learning
clusterRepro,Cluster,machine learning
clusterSim,Cluster,machine learning
clv,Cluster,machine learning
clValid,Cluster,machine learning
CoClust,Cluster,machine learning
compHclust,Cluster,machine learning
depmix,Cluster,machine learning
depmixS4,Cluster,machine learning
dpmixsim,Cluster,machine learning
dynamicTreeCut,Cluster,machine learning
e1071,Cluster,machine learning
EMCluster,Cluster,machine learning
FactoClass,Cluster,machine learning
fastcluster,Cluster,machine learning
FisherEM,Cluster,machine learning
flashClust,Cluster,machine learning
flexclust,Cluster,machine learning
flexmix,Cluster,machine learning
fpc,Cluster,machine learning
FunCluster,Cluster,machine learning
gamlss.mx,Cluster,machine learning
GLDEX,Cluster,machine learning
GSM,Cluster,machine learning
HDclassif,Cluster,machine learning
hybridHclust,Cluster,machine learning
isopam,Cluster,machine learning
kernlab,Cluster,machine learning
kml,Cluster,machine learning
kml3d,Cluster,machine learning
latentnet,Cluster,machine learning
