lib,Category
abc,Bayesian
arm,Bayesian
AtelieR,Bayesian
BaBooN,Bayesian
BACCO,Bayesian
BaM,Bayesian
BayesDA,Bayesian
bayesm,Bayesian
bayesmix,Bayesian
bayesQR,Bayesian
bayesSurv,Bayesian
Bayesthresh,Bayesian
BayesValidate,Bayesian
BayesX,Bayesian
BayHaz,Bayesian
bbemkr,Bayesian
BCBCSF,Bayesian
BCE,Bayesian
bclust,Bayesian
bcp,Bayesian
bfp,Bayesian
bisoreg,Bayesian
BLR,Bayesian
Bmix,Bayesian
bnlearn,Bayesian
boa,Bayesian
Bolstad,Bayesian
bqtl,Bayesian
bspec,Bayesian
bspmma,Bayesian
BVS,Bayesian
catnet,Bayesian
coda,Bayesian
cslogistic,Bayesian
dclone,Bayesian
deal,Bayesian
dlm,Bayesian
DPpackage,Bayesian
EbayesThresh,Bayesian
ebdbNet,Bayesian
ensembleBMA,Bayesian
evdbayes,Bayesian
exactLoglinTest,Bayesian
factorQR,Bayesian
geoR,Bayesian
geoRglm,Bayesian
ggmcmc,Bayesian
glmmBUGS,Bayesian
growcurves,Bayesian
hbsae,Bayesian
HI,Bayesian
Hmisc,Bayesian
iterLap,Bayesian
LearnBayes,Bayesian
lme4,Bayesian
lmm,Bayesian
MasterBayes,Bayesian
mcmc,Bayesian
MCMCglmm,Bayesian
MCMCpack,Bayesian
mgcv,Bayesian
mlogitBMA,Bayesian
MNP,Bayesian
mombf,Bayesian
monomvn,Bayesian
pacbpred,Bayesian
PAWL,Bayesian
PottsUtils,Bayesian
predmixcor,Bayesian
profdpm,Bayesian
pscl,Bayesian
R2jags,Bayesian
R2WinBUGS,Bayesian
ramps,Bayesian
rbugs,Bayesian
RJaCGH,Bayesian
rjags,Bayesian
RSGHB,Bayesian
runjags,Bayesian
Runuran,Bayesian
RxCEcolInf,Bayesian
SampleSizeMeans,Bayesian
SampleSizeProportions,Bayesian
sbgcop,Bayesian
SimpleTable,Bayesian
sna,Bayesian
spBayes,Bayesian
spikeSlabGAM,Bayesian
spTimer,Bayesian
stochvol,Bayesian
tgp,Bayesian
zic,Bayesian
BMA,Bayesian
BMS,Bayesian
BSquare,Bayesian
FME,Bayesian
BAYSTAR,Bayesian
spikeslab,Bayesian
AdMit,Bayesian
bayesGARCH,Bayesian
eigenmodel,Bayesian
PReMiuM,Bayesian
rcppbugs,Bayesian
rstiefel,Bayesian
MSBVAR,Bayesian
BayesTree,Bayesian
coalescentMCMC,Bayesian
SamplerCompare,Bayesian
eco,Bayesian
ALS,ChemPhys
AnalyzeFMRI,ChemPhys
AquaEnv,ChemPhys
astro,ChemPhys
astroFns,ChemPhys
Bchron,ChemPhys
bvls,ChemPhys
cda,ChemPhys
CellularAutomaton,ChemPhys
chemCal,ChemPhys
chemometrics,ChemPhys
ChemometricsWithR,ChemPhys
ChemometricsWithRData,ChemPhys
ChemoSpec,ChemPhys
CHNOSZ,ChemPhys
dielectric,ChemPhys
diffractometry,ChemPhys
drc,ChemPhys
drm,ChemPhys
elasticnet,ChemPhys
fastICA,ChemPhys
FITSio,ChemPhys
fmri,ChemPhys
fpca,ChemPhys
FTICRMS,ChemPhys
homals,ChemPhys
Iso,ChemPhys
kohonen,ChemPhys
leaps,ChemPhys
MALDIquant,ChemPhys
minpack.lm,ChemPhys
moonsun,ChemPhys
nlme,ChemPhys
nnls,ChemPhys
OrgMassSpecR,ChemPhys
pcaPP,ChemPhys
Peaks,ChemPhys
PET,ChemPhys
planar,ChemPhys
plspm,ChemPhys
ppls,ChemPhys
psy,ChemPhys
PTAk,ChemPhys
quantchem,ChemPhys
represent,ChemPhys
rpubchem,ChemPhys
sapa,ChemPhys
simecol,ChemPhys
solaR,ChemPhys
som,ChemPhys
spls,ChemPhys
stellaR,ChemPhys
stepPlr,ChemPhys
subselect,ChemPhys
TIMP,ChemPhys
titan,ChemPhys
varSelRF,ChemPhys
WilcoxCV,ChemPhys
BioMark,ChemPhys
celestial,ChemPhys
lspls,ChemPhys
pls,ChemPhys
prospectr,ChemPhys
SCEPtER,ChemPhys
clustvarsel,ChemPhys
investr,ChemPhys
resemble,ChemPhys
hyperSpec,ChemPhys
nlreg,ChemPhys
rcdk,ChemPhys
rcdklibs,ChemPhys
astrodatR,ChemPhys
astrolibR,ChemPhys
CRAC,ChemPhys
RobPer,ChemPhys
snapshot,ChemPhys
speaq,ChemPhys
compositions,ChemPhys
adaptTest,ClinicalTrials
asd,ClinicalTrials
asypow,ClinicalTrials
bcrm,ClinicalTrials
bifactorial,ClinicalTrials
blockrand,ClinicalTrials
clinfun,ClinicalTrials
clinsig,ClinicalTrials
coin,ClinicalTrials
conf.design,ClinicalTrials
CRM,ClinicalTrials
CRTSize,ClinicalTrials
dfcrm,ClinicalTrials
DoseFinding,ClinicalTrials
epibasix,ClinicalTrials
experiment,ClinicalTrials
FrF2,ClinicalTrials
GroupSeq,ClinicalTrials
gsDesign,ClinicalTrials
HH,ClinicalTrials
Hmisc,ClinicalTrials
ldbounds,ClinicalTrials
longpower,ClinicalTrials
MChtest,ClinicalTrials
MCPMod,ClinicalTrials
meta,ClinicalTrials
metafor,ClinicalTrials
metaLik,ClinicalTrials
multcomp,ClinicalTrials
nppbib,ClinicalTrials
PIPS,ClinicalTrials
PowerTOST,ClinicalTrials
pwr,ClinicalTrials
PwrGSD,ClinicalTrials
qtlDesign,ClinicalTrials
rmeta,ClinicalTrials
seqmon,ClinicalTrials
speff2trial,ClinicalTrials
ssanv,ClinicalTrials
survival,ClinicalTrials
TEQR,ClinicalTrials
TrialSize,ClinicalTrials
AGSDest,ClinicalTrials
binomSamSize,ClinicalTrials
metasens,ClinicalTrials
samplesize,ClinicalTrials
amap,Cluster
apcluster,Cluster
bayesm,Cluster
bayesmix,Cluster
bclust,Cluster
bgmm,Cluster
